Ticker,ApiTicker,RS_Rating,base_break,within_buy_range,volume_up_on_break,pivot,buy_upper,current_price,vol_ratio,high_52w,near_high
GLUE,US:GLUE,97,False,False,False,23.29,24.4545,18.09,0.592563987284647,25.77,False
HL,US:HL,97,False,False,False,29.99,31.4895,23.31,0.6192534586254805,34.17,False
ICHR,US:ICHR,97,False,False,False,55.33,58.0965,52.41,1.163715833786533,55.33,True
IMMX,US:IMMX,97,False,False,False,8.885,9.32925,8.75,0.6056245065397838,8.97,True
INBX,US:INBX,97,False,False,False,88.72,93.156,80.27,1.0851434502186967,94.565,False
LAR,US:LAR,97,False,False,False,8.54,8.966999999999999,8.36,1.4495896743048844,8.8,True
LASR,US:LASR,97,False,False,False,60.755,63.792750000000005,60.6,1.8750876930416156,61.8,True
LNKS,US:LNKS,97,False,False,False,1.68,1.764,1.24,0.03755204650797392,1.68,False
LPCN,US:LPCN,97,False,False,False,11.105,11.660250000000001,9.48,0.7088816004390492,12.37,False
LPTH,US:LPTH,97,False,False,False,13.76,14.448,11.77,1.2179586061627987,15.24,False
MAZE,US:MAZE,97,False,False,False,49.25,51.712500000000006,47.23,1.055057310162773,49.25,True
MU,US:MU,97,False,False,False,455.5,478.27500000000003,429.0,0.7649885045361202,455.5,True
NEGG,US:NEGG,97,False,False,False,59.0,61.95,46.9,0.5886794233537032,137.84,False
NESR,US:NESR,97,False,False,False,26.6,27.930000000000003,25.91,0.9024039525108768,26.85,True
NKTR,US:NKTR,97,False,False,False,75.67,79.4535,70.37,0.7702921905204628,75.67,True
NUGT,US:NUGT,97,False,False,False,317.99,333.8895,288.46,0.5097039291714802,317.99,True
OLMA,US:OLMA,97,False,False,False,27.59,28.9695,24.1,0.6139438218659587,36.259,False
PEPG,US:PEPG,97,False,False,False,7.14,7.497,6.4,0.7935200110256887,7.8,False
PRLD,US:PRLD,97,False,False,False,3.31,3.4755000000000003,3.29,1.4101924552188438,4.22,False
PVLA,US:PVLA,97,True,True,True,127.69,134.0745,128.6,1.8628267555099949,129.32,True
PZG,US:PZG,97,False,False,False,2.71,2.8455,2.43,1.0373950988793743,2.71,True
RHLD,US:RHLD,97,False,False,False,213.72,224.406,190.84,1.9938808231469631,236.19,False
SATS,US:SATS,97,False,False,False,131.94,138.537,107.01,0.7012314524888537,132.25,False
SIF,US:SIF,97,False,False,False,14.77,15.5085,14.17,1.9374737976882075,14.77,True
SLS,US:SLS,97,False,False,False,4.98,5.229000000000001,4.55,0.6923583103513331,5.18,True
SOXL,US:SOXL,97,False,False,False,71.98,75.57900000000001,71.86,0.6755441872576887,72.36,True
STTK,US:STTK,97,False,False,False,4.46,4.683,4.05,0.7767102398733898,4.89,False
STX,US:STX,97,False,False,False,459.84,482.832,421.85,0.7454698811060793,459.84,True
TER,US:TER,97,True,True,False,332.42,349.04100000000005,342.82,0.9358881531391753,343.69,True
TNGX,US:TNGX,97,False,False,False,13.6,14.28,12.63,0.9273581224347793,13.6,True
TROO,US:TROO,97,False,False,False,4.45,4.6725,3.14,0.5972970491000368,5.28,False
TTMI,US:TTMI,97,False,False,False,111.0,116.55000000000001,108.86,0.6537438605346431,113.46,True
UAMY,US:UAMY,97,False,False,False,10.21,10.720500000000001,9.15,0.8594465411815945,19.71,False
UCTT,US:UCTT,97,False,False,False,72.69,76.3245,67.32,2.142365395612002,73.8,True
UUUU,US:UUUU,97,False,False,False,27.9,29.294999999999998,22.6,0.7132054989309593,27.9,False
VICR,US:VICR,97,True,True,True,190.72,200.256,197.16,1.600760064130411,203.86,True
VRTL,US:VRTL,97,True,True,False,112.65,118.28250000000001,117.165,0.641319285387082,119.89,True
VSAT,US:VSAT,97,False,False,False,49.68,52.164,47.66,0.7187614981275073,50.24,True
