Ticker,ApiTicker,RS_Rating,base_break,within_buy_range,volume_up_on_break,pivot,buy_upper,current_price,vol_ratio,high_52w,near_high
CYD,US:CYD,97,False,False,False,55.0,57.75,53.61,0.7575145442792501,55.0,True
FBRX,US:FBRX,97,False,False,False,35.62,37.400999999999996,32.11,0.48168901923842633,35.62,True
FORM,US:FORM,97,False,False,False,97.73,102.6165,96.73,1.0681612356501269,100.01,True
GLSI,US:GLSI,97,False,False,False,34.1,35.805,26.85,0.1910673298223868,34.1,False
GLUE,US:GLUE,97,False,False,False,25.35,26.617500000000003,17.92,0.42444075133779935,25.77,False
GPCR,US:GPCR,97,False,False,False,94.77,99.5085,70.07,0.7563347033254323,94.9,False
HL,US:HL,97,False,False,False,34.17,35.8785,22.6,0.6366650486622801,34.17,False
IAG,US:IAG,97,False,False,False,22.5,23.625,21.63,0.8315304240049116,22.5,True
IMMX,US:IMMX,97,False,False,False,7.45,7.822500000000001,7.33,0.8231955393706564,7.73,True
IPSC,US:IPSC,97,False,False,False,2.71,2.8455,1.75,0.3077966757757414,2.71,False
IRD,US:IRD,97,True,True,False,3.57,3.7485,3.64,1.0458358031232133,3.7,True
JNUG,US:JNUG,97,False,False,False,363.0,381.15000000000003,274.09,0.8752816962784965,363.0,False
KOD,US:KOD,97,False,False,False,29.49,30.9645,22.07,0.6485867092077431,31.18,False
LASR,US:LASR,97,False,False,False,55.92,58.716,52.28,1.211257800010314,55.92,True
LPCN,US:LPCN,97,False,False,False,12.37,12.9885,8.66,0.21687781833798583,12.37,False
LPTH,US:LPTH,97,False,False,False,15.24,16.002000000000002,11.52,0.9535166558081746,15.24,False
LVLU,US:LVLU,97,False,False,False,32.319,33.93495000000001,14.55,0.06201151750501953,32.319,False
MAGH,US:MAGH,97,False,False,False,6.76,7.098,6.76,0.0,6.94,True
MAZE,US:MAZE,97,False,False,False,49.25,51.712500000000006,46.01,0.8846510283377403,49.25,True
MBX,US:MBX,97,False,False,False,44.89,47.1345,38.09,0.7007327742330947,44.89,False
MU,US:MU,97,False,False,False,455.5,478.27500000000003,411.66,0.9907399436916656,455.5,True
NEGG,US:NEGG,97,False,False,False,59.0,61.95,46.63,0.5929433866264848,137.84,False
NERV,US:NERV,97,False,False,False,6.47,6.7935,6.27,0.9322104329999723,12.46,False
NUGT,US:NUGT,97,False,False,False,317.99,333.8895,253.54,0.9936754743394245,317.99,False
PACS,US:PACS,97,False,False,False,40.0,42.0,37.81,0.8312688580406186,43.08,True
PL,US:PL,97,False,False,False,30.898,32.4429,22.42,0.469066135271636,30.898,False
PRE,US:PRE,97,False,False,False,22.86,24.003,21.97,0.5321368948247078,22.86,True
RHLD,US:RHLD,97,False,False,False,228.8,240.24,186.43,1.7709623246424997,236.19,False
SATS,US:SATS,97,False,False,False,132.25,138.8625,113.15,0.6656163088341406,132.25,True
SBSW,US:SBSW,97,False,False,False,21.29,22.3545,17.23,0.6565195337782463,21.29,False
SND,US:SND,97,True,False,True,5.09,5.3445,5.36,1.484685064806635,5.39,True
STTK,US:STTK,97,False,False,False,4.75,4.9875,3.86,0.2382485721348373,4.89,False
STX,US:STX,97,False,False,False,459.84,482.832,425.99,0.8515706890837805,459.84,True
TE,US:TE,97,False,False,False,9.78,10.269,6.12,0.6528003208030396,9.78,False
TER,US:TER,97,False,False,False,327.99,344.3895,314.66,0.7735907046656758,327.99,True
UUUU,US:UUUU,97,False,False,False,27.9,29.294999999999998,20.72,0.6545303341774783,27.9,False
VICR,US:VICR,97,False,False,False,177.0,185.85,155.96,1.015000547465236,177.0,True
VSAT,US:VSAT,97,False,False,False,49.68,52.164,48.85,1.2522207130087895,49.68,True
ACMR,US:ACMR,96,False,False,False,71.65,75.23250000000002,64.84,0.9478156288440942,71.65,True
AMLX,US:AMLX,96,False,False,False,17.49,18.3645,14.12,0.39761316904031424,17.49,False
ANAB,US:ANAB,96,False,False,False,56.39,59.209500000000006,53.08,1.2272973988559976,57.65,True
AREC,US:AREC,96,False,False,False,4.8,5.04,3.08,1.3280848835494907,7.11,False
ASYS,US:ASYS,96,False,False,False,18.59,19.5195,11.42,0.7059455762372367,18.59,False
ATRO,US:ATRO,96,False,False,False,81.89,85.98450000000001,76.94,0.5045110187178518,81.89,True
AUGO,US:AUGO,96,False,False,False,76.8,80.64,72.36,0.8893864094867884,76.8,True
BKD,US:BKD,96,False,False,False,17.0,17.85,16.51,1.480211092191489,17.0,True
BLTE,US:BLTE,96,False,False,False,200.0,210.0,175.26,0.5021819231487613,200.0,True
BVN,US:BVN,96,False,False,False,41.29,43.3545,37.96,0.5035063884771438,41.29,True
CDE,US:CDE,96,False,False,False,27.77,29.1585,22.42,0.8573068477747604,27.77,False
CECO,US:CECO,96,True,True,False,77.58,81.459,79.14,1.0761128634021722,79.17,True
CGAU,US:CGAU,96,False,False,False,20.4,21.419999999999998,18.85,0.9988787807276747,20.4,True
